,Masked,Meaning,Answer
0,co__nth,the modern Greek port near the site of the ancient city that was second only to Athens,corinth
1,_ecei_e,get something; come into possession of,receive
2,_ollag_,a paste-up made by sticking together pieces of paper or photographs to form an artistic image,collage
3,t__sh,worthless material that is to be disposed of,trash
4,de_aw_r_,a river that rises in the Catskills in southeastern New York and flows southward along the border of Pennsylvania with New York and New Jersey to northern Delaware where it empties into Delaware Bay,delaware
5,pale_t_,the range of colour characteristic of a particular artist or painting or school of art,palette
6,ic__a_e_ron,any polyhedron having twenty plane faces,icosahedron
7,ba__ac,French novelist; he portrays the complexity of 19th century French society (1799-1850,balzac
8,_ala_si_,a constitutional monarchy in southeastern Asia on Borneo and the Malay Peninsula; achieved independence from the United Kingdom in 1957,malaysia
9,s__i_osis,a lung disease caused by inhaling particles of silica or quartz or slate,silicosis
10,s_b___sible,an apparatus intended for use under water,submersible
11,f_otp_d,a highwayman who robs on foot,
12,lang__,slender long-tailed monkey of Asia,langur
13,__scan,a resident of Tuscany,tuscan
14,uni_e_s_,everything that exists anywhere,universe
15,ex__se,the exposure of an impostor or a fraud,expose
16,c_e_ish,be fond of; be attached to,cherish
17,_up_lan_,take the place or move into the position of,supplant
18,co_ve__e,be adjacent or come together,converge
19,p_inc__on,a university town in central New Jersey,princeton
20,_ide,the dressed skin of an animal (especially a large animal,ride
21,ti_t,a combat between two mounted knights tilting against each other with blunted lances,tilt
22,p__s_mmon,any of several tropical trees of the genus Diospyros,persimmon
23,f_rd,United States film maker (1896-1973,ford
24,l_nch_oo_,a restaurant (in a facility,lunchroom
25,_a_pas,an informal term for a father; probably derived from baby talk,sampas
26,h_dran__a,any of various deciduous or evergreen shrubs of the genus Hydrangea,hydrangea
27,_n__sc_imina_e,failing to make or recognize distinctions,indiscriminate
28,t__ty,showing signs of wear and tear,tasty
29,c__rant,any of several tart red or black berries used primarily for jellies and jams,courant
30,ann_y_nc_,the psychological state of being irritated or annoyed,annoyance
31,_iplo_ac_,negotiation between nations,diplomacy
32,char__t,a light four-wheel horse-drawn ceremonial carriage,chariot
33,_atisfa_ti__,"the contentment one feels when one has fulfilled a desire, need, or expectation",satisfaction
34,c_l_ie,a silky-coated sheepdog with a long ruff and long narrow head developed in Scotland,collie
35,skyja__,subject an aircraft to air piracy,
36,ta__wo_m,ribbonlike flatworms that are parasitic in the intestines of humans and other vertebrates,tapeworm
37,ge_ita_,of or relating to the external sex organs,genital
38,pr__sia,a former kingdom in north-central Europe including present-day northern Germany and northern Poland,prussia
39,_ock,hosiery consisting of a cloth covering for the foot; worn inside the shoe; reaches to between the ankle and the knee,sock
40,p_ck_tt,American Confederate general known for leading a disastrous charge at Gettysburg (1825-1875,pickett
41,scr__ps,United States newspaper publisher who founded an important press association; half-brother of James Edmund Scripps (1854-1926,scripps
